pp_id,unique_id,age,gender_str,gender_code,L1_str,L1_code,handedness_str,handedness_code,musicality_question_1,musicality_question_2,musicality_question_3,musicality_question_4,musicality_question_5,musicality_question_6,musicality_question_7,musicality_question_8,musicality_calculated,n_resampled,failed_training,n_training_rounds_needed
135,9690040,,,,,,,,,,,,,,,,,0,False,1
143,9763636,,,,,,,,,,,,,,,,,0,True,1
83,9766823,26.0,Vrouw,,Nederlands,,right,,1,5.0,2.0,1.0,2.0,1.0,3,1,,0,True,1
219,9767165,,,,,,,,,,,,,,,,,1,False,1
254,9797750,26.0,vrouw,,Nederlands,,right,,40,4.0,3.0,1.0,3.0,3.0,15,10,,0,True,3
38,9820958,21.0,Vrouw,,Nederlands,,left,,24,3.0,4.0,3.0,1.0,1.0,,,,0,False,1
248,9851082,,,,,,,,,,,,,,,,,1,False,1
234,9912893,69.0,v,,nederlands,,right,,7,4.0,4.0,3.0,4.0,4.0,6,7,,0,True,2
65,9928742,21.0,vrouw,,Nederlands,,right,,30,3.0,1.0,3.0,1.0,1.0,,,,0,True,1
280,9929049,22.0,vrouw,,Nederlands,,right,,8,3.0,1.0,1.0,2.0,4.0,12,2,,0,True,1
82,9954744,33.0,Vrouw,,Nederlands,,right,,5,2.0,5.0,3.0,4.0,4.0,15,3,,0,True,1
220,9971121,20.0,Vrouw,,Nederlands,,left,,10,5.0,1.0,2.0,2.0,1.0,,,,0,True,4
314,6900933,64.0,vrouw,,Nederlands,,right,,4,3.0,1.0,2.0,1.0,1.0,,,,0,True,3
